Tweet,Target,Stance,Opinion Towards,Sentiment,first_cleaning_text,n_hashtags,hashtags,cleaned_text
@prolife_wife You can say that again! #AbortionIsMurder #AllLivesMatter #ProLifeYouth #SemST,Legalization of Abortion,AGAINST,EO,neg,You can say that again! AbortionIsMurder AllLivesMatter ProLifeYouth SemST,4,"['AbortionIsMurder', 'AllLivesMatter', 'ProLifeYouth', 'SemST']",you say abortionismurd alllivesmatt prolifeyouth semst
@BuhayIpaglaban @_msthirdward @laurawrpie Who defends murder here? I haven't heard anyone defending the killing of human beings. #SemST,Legalization of Abortion,AGAINST,EO,neg,Who defends murder here? I haven't heard anyone defending the killing of human beings. SemST,1,['SemST'],who defend murder i heard anyon defend kill human be semst
"The idea that a ""fetus"" isn't human is outrageous, I mean what else would it be? A dog? A dragon? The unborn are HUMAN BEINGS! #SemST",Legalization of Abortion,AGAINST,EO,neg,"The idea that a ""fetus"" isn't human is outrageous, I mean what else would it be? A dog? A dragon? The unborn are HUMAN BEINGS! SemST",1,['SemST'],the idea fetus human outrag i mean els would a dog a dragon the unborn human be semst
"Meanwhile, @JustinTrudeau wants to waste your money to kill innocent children in the womb. #dangerous #hypocrite #noChoice #SemST",Legalization of Abortion,AGAINST,EO,neg,"Meanwhile, wants to waste your money to kill innocent children in the womb. dangerous hypocrite noChoice SemST",4,"['dangerous', 'hypocrite', 'noChoice', 'SemST']",meanwhil want wast money kill innoc children womb danger hypocrit nochoic semst
RT DavidHarris707: MathewsJeanne Thank you 4 your very #kind RT. God Bless You #Patriot. #babies matter #SemST,Legalization of Abortion,AGAINST,WO,pos,RT DavidHarris707: MathewsJeanne Thank you 4 your very kind RT. God Bless You Patriot. babies matter SemST,4,"['kind', 'Patriot', 'babies', 'SemST']",rt davidharri mathewsjeann thank kind rt god bless you patriot babi matter semst
@notmuchelse NO new human individual formed at conception! Full complement of human chromosomes unique individual DNA and alive. #SemST,Legalization of Abortion,AGAINST,EO,neg,NO new human individual formed at conception! Full complement of human chromosomes unique individual DNA and alive. SemST,1,['SemST'],no new human individu form concept full complement human chromosom uniqu individu dna aliv semst
@SenSchumer You sponsored the religious freedom bill. What is this bill that allows killing full term babies in NY? #tcot #SemST,Legalization of Abortion,AGAINST,EO,neg,You sponsored the religious freedom bill. What is this bill that allows killing full term babies in NY? tcot SemST,2,"['tcot', 'SemST']",you sponsor religi freedom bill what bill allow kill full term babi ny tcot semst
"@BuhayIpaglaban @blueskies366 thank you again to show that you are AGAINST CONTRACEPTION. ""#Prolife"" = a code word for #misogyny. #SemST",Legalization of Abortion,AGAINST,WO,neg,"thank you again to show that you are AGAINST CONTRACEPTION. ""Prolife"" = a code word for misogyny. SemST",3,"['Prolife', 'misogyny', 'SemST']",thank show against contracept prolif code word misogyni semst
Generate belief in quality existence for everyone especially children in that community.Kittington2016 #SemST,Legalization of Abortion,AGAINST,EO,pos,Generate belief in quality existence for everyone especially children in that community.Kittington2016 SemST,1,['SemST'],generat belief qualiti exist everyon especi children communiti kittington semst
Where's the most dangerous place for a child? In the hands of an ISIS terrorist? Almost. Inside their mother's womb #MiddleAmerica #SemST,Legalization of Abortion,AGAINST,EO,neg,Where's the most dangerous place for a child? In the hands of an ISIS terrorist? Almost. Inside their mother's womb MiddleAmerica SemST,2,"['MiddleAmerica', 'SemST']",where danger place child in hand isi terrorist almost insid mother womb middleamerica semst
