Tweet,Target,Stance,Opinion Towards,Sentiment,first_cleaning_text,n_hashtags,hashtags,cleaned_text
I am about to deck these 2 bitches in the fucking mouth.  #1A #2A #NRA #COS #CCOT #TGDN #PJNET  #WAKEUPAMERICA #SemST,Legalization of Abortion,AGAINST,WO,neg,I am about to deck these 2 bitches in the fucking mouth. 1A 2A NRA COS CCOT TGDN PJNET WAKEUPAMERICA SemST,9,"['1A', '2A', 'NRA', 'COS', 'CCOT', 'TGDN', 'PJNET', 'WAKEUPAMERICA', 'SemST']",i deck bitch fuck mouth a a nra cos ccot tgdn pjnet wakeupamerica semst
Generate belief in quality existence for everyone especially children in that community.Kittington2016 #SemST,Legalization of Abortion,AGAINST,EO,pos,Generate belief in quality existence for everyone especially children in that community.Kittington2016 SemST,1,['SemST'],generat belief qualiti exist everyon especi children communiti kittington semst
CPCs in this town of 5000: 2. #goddamn #SemST,Legalization of Abortion,AGAINST,WO,neg,CPCs in this town of 5000: 2. goddamn SemST,2,"['goddamn', 'SemST']",cpcs town goddamn semst
@BaronTrader @DynaMoChen  Margret Sangers Looking a little rough!!!! #SemST,Legalization of Abortion,NONE,NO,neg,Margret Sangers Looking a little rough!!!! SemST,1,['SemST'],margret sanger look littl rough semst
Next time just keep the baby   #SemST,Legalization of Abortion,AGAINST,WO,neg,Next time just keep the baby SemST,1,['SemST'],next time keep babi semst
I cannot believe there are still people in this century who opposed to women having rights over their own bodies! #disgusted #SemST,Legalization of Abortion,FAVOR,EO,neg,I cannot believe there are still people in this century who opposed to women having rights over their own bodies! disgusted SemST,2,"['disgusted', 'SemST']",i cannot believ still peopl centuri oppos women right bodi disgust semst
"You can't give the ""death penalty"" to something not living sentient or autonomous #WarOnWomen #roe42 #reprohealth #SemST",Legalization of Abortion,FAVOR,EO,neg,"You can't give the ""death penalty"" to something not living sentient or autonomous WarOnWomen roe42 reprohealth SemST",4,"['WarOnWomen', 'roe42', 'reprohealth', 'SemST']",you give death penalti someth not live sentient autonom waronwomen roe reprohealth semst
@AndySwan lol.  I don't know about that.  #schoolprayer #GovtEndorsementOfHeterosexualMarriage #SemST,Legalization of Abortion,NONE,NO,neg,lol. I don't know about that. schoolprayer GovtEndorsementOfHeterosexualMarriage SemST,3,"['schoolprayer', 'GovtEndorsementOfHeterosexualMarriage', 'SemST']",lol i know schoolpray govtendorsementofheterosexualmarriag semst
I can think of a thousand things more important than Keith Olbermann. #SanctuaryCities #IRSscandal #Benghazi #Bergdahl #USDebt #SemST,Legalization of Abortion,NONE,WO,neg,I can think of a thousand things more important than Keith Olbermann. SanctuaryCities IRSscandal Benghazi Bergdahl USDebt SemST,6,"['SanctuaryCities', 'IRSscandal', 'Benghazi', 'Bergdahl', 'USDebt', 'SemST']",i think thousand thing import keith olbermann sanctuaryc irsscand benghazi bergdahl usdebt semst
"RT @freesafelegal: ""Why does the government not hold a referendum on abortion?"" asks UN CESCR Mbr Pillay #UNIRL #SemST",Legalization of Abortion,AGAINST,WO,other,"RT ""Why does the government not hold a referendum on abortion?"" asks UN CESCR Mbr Pillay UNIRL SemST",2,"['UNIRL', 'SemST']",rt whi govern not hold referendum abort ask un cescr mbr pillay unirl semst
it's not that i don't want to be at work. it's that i rather be asleep. #SemST,Legalization of Abortion,NONE,WO,neg,it's not that i don't want to be at work. it's that i rather be asleep. SemST,1,['SemST'],not want work rather asleep semst
If #Freewill is good enough for your #god it should be good enough for you. #SemST,Legalization of Abortion,AGAINST,EO,pos,If Freewill is good enough for your god it should be good enough for you. SemST,3,"['Freewill', 'god', 'SemST']",if freewil good enough god good enough semst
"If we are pronounced dead when our heart stops, why are we not pronounced alive when our heart starts? #SemST",Legalization of Abortion,AGAINST,EO,neg,"If we are pronounced dead when our heart stops, why are we not pronounced alive when our heart starts? SemST",1,['SemST'],if pronounc dead heart stop not pronounc aliv heart start semst
@thejournal_ie sad this is what has to be done for women in need #SemST,Legalization of Abortion,NONE,WO,neg,sad this is what has to be done for women in need SemST,1,['SemST'],sad done women need semst
