Tweet,Target,Stance,Opinion Towards,Sentiment,first_cleaning_text,n_hashtags,hashtags,cleaned_text
"As a man, the only body I should have a say in is my own. #repealthe8th #rally4life #SemST",Legalization of Abortion,AGAINST,EO,neg,"As a man, the only body I should have a say in is my own. repealthe8th rally4life SemST",3,"['repealthe8th', 'rally4life', 'SemST']",as man bodi i say repealth th ralli life semst
This #rally4life shit! How people support it I'll never understand. #SemST,Legalization of Abortion,AGAINST,EO,neg,This rally4life shit! How people support it I'll never understand. SemST,2,"['rally4life', 'SemST']",this ralli life shit how peopl support i never understand semst
For great is thy mercy toward me; & thou hast delivered my soul from an evil place. Amen #Christian #SemST,Legalization of Abortion,AGAINST,EO,pos,For great is thy mercy toward me; & thou hast delivered my soul from an evil place. Amen Christian SemST,2,"['Christian', 'SemST']",for great thi merci toward thou hast deliv soul evil place amen christian semst
"Compromising on #sin gets easier as time goes on. Oh yeah, it didn't just start! #sexual-impurity #WakeUpAmerica #SemST",Legalization of Abortion,AGAINST,WO,neg,"Compromising on sin gets easier as time goes on. Oh yeah, it didn't just start! sexual-impurity WakeUpAmerica SemST",4,"['sin', 'sexual', 'WakeUpAmerica', 'SemST']",compromis sin get easier time goe oh yeah start sexual impur wakeupamerica semst
There is nothing sadder than pro-life young women. I can't help but pity the fools. #repealthe8th #SemST,Legalization of Abortion,AGAINST,EO,neg,There is nothing sadder than pro-life young women. I can't help but pity the fools. repealthe8th SemST,2,"['repealthe8th', 'SemST']",there noth sadder pro life young women i help piti fool repealth th semst
"#rally4life because if they don't want an abortion, then no one can have the choice  #SemST",Legalization of Abortion,AGAINST,EO,neg,"rally4life because if they don't want an abortion, then no one can have the choice SemST",2,"['rally4life', 'SemST']",ralli life want abort one choic semst
I can think of a thousand things more important than Keith Olbermann. #SanctuaryCities #IRSscandal #Benghazi #Bergdahl #USDebt #SemST,Legalization of Abortion,NONE,WO,neg,I can think of a thousand things more important than Keith Olbermann. SanctuaryCities IRSscandal Benghazi Bergdahl USDebt SemST,6,"['SanctuaryCities', 'IRSscandal', 'Benghazi', 'Bergdahl', 'USDebt', 'SemST']",i think thousand thing import keith olbermann sanctuaryc irsscand benghazi bergdahl usdebt semst
"@toby_dorena Pregnant people have more than heartbeats. They have feelings, and the ability to make decisions about their health. #SemST",Legalization of Abortion,FAVOR,EO,pos,"Pregnant people have more than heartbeats. They have feelings, and the ability to make decisions about their health. SemST",1,['SemST'],pregnant peopl heartbeat they feel abil make decis health semst
"#rally4life Motherhood is for some much-wanted,for others it is not.It should be by choice, not by force. Respect women's choices #SemST",Legalization of Abortion,AGAINST,EO,pos,"rally4life Motherhood is for some much-wanted,for others it is not.It should be by choice, not by force. Respect women's choices SemST",2,"['rally4life', 'SemST']",ralli life motherhood much want other not it choic not forc respect women choic semst
"RT @RandForeman: It's so easy to be Pro-Choice, especially when you're not the one getting your skull crushed. #SemST",Legalization of Abortion,AGAINST,EO,neg,"RT It's so easy to be Pro-Choice, especially when you're not the one getting your skull crushed. SemST",1,['SemST'],rt it easi pro choic especi not one get skull crush semst
I'm really pissed off by vaccines mandates. It's not ok to force parents to inject their kids when there might be consequences. #SemST,Legalization of Abortion,NONE,WO,neg,I'm really pissed off by vaccines mandates. It's not ok to force parents to inject their kids when there might be consequences. SemST,1,['SemST'],i realli piss vaccin mandat it not ok forc parent inject kid might consequ semst
Abortionists and their supporters are the REAL misogynists! #Catholic #Christian #progressive #liberal #SemST,Legalization of Abortion,AGAINST,EO,neg,Abortionists and their supporters are the REAL misogynists! Catholic Christian progressive liberal SemST,5,"['Catholic', 'Christian', 'progressive', 'liberal', 'SemST']",abortionist support real misogynist cathol christian progress liber semst
"In so many ways to Christians right here in America we already ARE the ""Great Satan"" #GayMarriage #Drugs #WakeUpAmerica #SemST",Legalization of Abortion,AGAINST,WO,neg,"In so many ways to Christians right here in America we already ARE the ""Great Satan"" GayMarriage Drugs WakeUpAmerica SemST",4,"['GayMarriage', 'Drugs', 'WakeUpAmerica', 'SemST']",in mani way christian right america alreadi are great satan gaymarriag drug wakeupamerica semst
@BaronTrader @DynaMoChen  Margret Sangers Looking a little rough!!!! #SemST,Legalization of Abortion,NONE,NO,neg,Margret Sangers Looking a little rough!!!! SemST,1,['SemST'],margret sanger look littl rough semst
#HDR - top set up in the Warm up area @HuddsCriterium ... Chilling and chatting with @GabzCullaigh before the racing. #Topriders #SemST,Legalization of Abortion,NONE,WO,pos,HDR - top set up in the Warm up area ... Chilling and chatting with before the racing. Topriders SemST,3,"['HDR', 'Topriders', 'SemST']",hdr top set warm area chill chat race toprid semst
Please vote against the anti-choice amendment to the Scotland Bill on Monday @KevinBrennanMP - Thanks! #abortionrights #SemST,Legalization of Abortion,AGAINST,EO,pos,Please vote against the anti-choice amendment to the Scotland Bill on Monday - Thanks! abortionrights SemST,2,"['abortionrights', 'SemST']",pleas vote anti choic amend scotland bill monday thank abortionright semst
"@PrevailChris Sexual Assault is Epidemic.. Not just in Military, Colleges, Universities. Fight 2 Stop this Crime=Less Need 4 #SemST",Legalization of Abortion,AGAINST,EO,neg,"Sexual Assault is Epidemic.. Not just in Military, Colleges, Universities. Fight 2 Stop this Crime=Less Need 4 SemST",1,['SemST'],sexual assault epidem not militari colleg univers fight stop crime less need semst
@gaz_dance I'm good like this. I've always been #SemST,Legalization of Abortion,NONE,WO,pos,I'm good like this. I've always been SemST,1,['SemST'],i good like i alway semst
@VeronicaCoffin @Fingersflying the irony of Margaret Sanger wanting to rid the world of blacks. #SemST,Legalization of Abortion,AGAINST,WO,neg,the irony of Margaret Sanger wanting to rid the world of blacks. SemST,1,['SemST'],ironi margaret sanger want rid world black semst
"We declare that all people have worth and value even if the whole world calls them ""unwanted""! #SemST",Legalization of Abortion,AGAINST,EO,neg,"We declare that all people have worth and value even if the whole world calls them ""unwanted""! SemST",1,['SemST'],we declar peopl worth valu even whole world call unwant semst
"How many location-efficient, #affordablehousing units could the NYC metro (pop. 23M) create if it built over all of its cemeteries? #SemST",Legalization of Abortion,NONE,NO,other,"How many location-efficient, affordablehousing units could the NYC metro (pop. 23M) create if it built over all of its cemeteries? SemST",2,"['affordablehousing', 'SemST']",how mani locat effici affordableh unit could nyc metro pop m creat built cemeteri semst
@ShowTruth YOU CAN'T HANDLE THE TRUTH! People will always do it no matter the laws. #letdoctorsdoit #SemST,Legalization of Abortion,FAVOR,EO,neg,YOU CAN'T HANDLE THE TRUTH! People will always do it no matter the laws. letdoctorsdoit SemST,2,"['letdoctorsdoit', 'SemST']",you can t handl the truth peopl alway matter law letdoctorsdoit semst
"Not your uterus, not your choice--from conception on, it really is THAT simple! #fem2gen #YesAllWomen #SemST",Legalization of Abortion,FAVOR,EO,pos,"Not your uterus, not your choice--from conception on, it really is THAT simple! fem2gen YesAllWomen SemST",3,"['fem2gen', 'YesAllWomen', 'SemST']",not uterus not choic concept realli that simpl fem gen yesallwomen semst
89% of abortions occur at the 12th week or before #letstalkabortion #SemST,Legalization of Abortion,NONE,NO,neg,89% of abortions occur at the 12th week or before letstalkabortion SemST,2,"['letstalkabortion', 'SemST']",abort occur th week letstalkabort semst
1.2% of abortions happen at 21 weeks+  (these are only exceptions) #letstalkabortion #SemST,Legalization of Abortion,NONE,NO,other,1.2% of abortions happen at 21 weeks+ (these are only exceptions) letstalkabortion SemST,2,"['letstalkabortion', 'SemST']",abort happen week except letstalkabort semst
@denisemourges @RepThomasMassie I know! I'm the only perfect :-) candidate. #ProCivilLiberties #ProBusiness #ProWorker #ProPeace #SemST,Legalization of Abortion,AGAINST,WO,pos,I know! I'm the only perfect :-) candidate. ProCivilLiberties ProBusiness ProWorker ProPeace SemST,5,"['ProCivilLiberties', 'ProBusiness', 'ProWorker', 'ProPeace', 'SemST']",i know i perfect candid procivilliberti probusi prowork propeac semst
People don't care about things that don't effect men which is the same reason it's sexist we don't cover birth control  #SemST,Legalization of Abortion,AGAINST,EO,neg,People don't care about things that don't effect men which is the same reason it's sexist we don't cover birth control SemST,1,['SemST'],peopl care thing effect men reason sexist cover birth control semst
Wish I could be at the #rallyforlife counter protest. Women are people. Fetuses are clumps of cells. End of story. #ireland #SemST,Legalization of Abortion,AGAINST,EO,other,Wish I could be at the rallyforlife counter protest. Women are people. Fetuses are clumps of cells. End of story. ireland SemST,3,"['rallyforlife', 'ireland', 'SemST']",wish i could rallyforlif counter protest women peopl fetus clump cell end stori ireland semst
"@MikeDury And don't forget, now ""Private clubs"" and organizations. AKA ~> #GirlScouts & #SemST",Legalization of Abortion,AGAINST,EO,other,"And don't forget, now ""Private clubs"" and organizations. AKA ~> GirlScouts & SemST",2,"['GirlScouts', 'SemST']",and forget privat club organ aka girlscout semst
If it's not a person then why do women get invitro? To have a gold fish? #SemST,Legalization of Abortion,AGAINST,EO,neg,If it's not a person then why do women get invitro? To have a gold fish? SemST,1,['SemST'],if not person women get invitro to gold fish semst
Oh you dont like that Im Pro-choice.  Pftt. Dont try to force me to be pro-life. Fuck off   #sorrynotsorry #SemST,Legalization of Abortion,FAVOR,EO,neg,Oh you dont like that Im Pro-choice. Pftt. Dont try to force me to be pro-life. Fuck off sorrynotsorry SemST,2,"['sorrynotsorry', 'SemST']",oh dont like im pro choic pftt dont tri forc pro life fuck sorrynotsorri semst
Those who wonder what they would have done had they lived at the time of some terrible injustice now know the answer -P. Hitchens #SemST,Legalization of Abortion,AGAINST,WO,neg,Those who wonder what they would have done had they lived at the time of some terrible injustice now know the answer -P. Hitchens SemST,1,['SemST'],those wonder would done live time terribl injustic know answer p hitchen semst
@GBPstaff 1999 Meet the Press admitted to being Very Pro-Choice even with late term & Partial Birth Abortions.  He's sick!  #SemST,Legalization of Abortion,AGAINST,EO,neg,1999 Meet the Press admitted to being Very Pro-Choice even with late term & Partial Birth Abortions. He's sick! SemST,1,['SemST'],meet press admit veri pro choic even late term partial birth abort he sick semst
Today is a great because we are alive. #SemST,Legalization of Abortion,NONE,WO,pos,Today is a great because we are alive. SemST,1,['SemST'],today great aliv semst
Helping achieve repro. justice 1 step @ a time. #abfunds #love #compassion #abortionrights #nnaf #SemST,Legalization of Abortion,FAVOR,EO,pos,Helping achieve repro. justice 1 step a time. abfunds love compassion abortionrights nnaf SemST,6,"['abfunds', 'love', 'compassion', 'abortionrights', 'nnaf', 'SemST']",help achiev repro justic step time abfund love compass abortionright nnaf semst
"Why would I want to make choices about my own body, when a congressman could do it for me?  #ConversationsWithAlex #SemST",Legalization of Abortion,AGAINST,EO,neg,"Why would I want to make choices about my own body, when a congressman could do it for me? ConversationsWithAlex SemST",2,"['ConversationsWithAlex', 'SemST']",whi would i want make choic bodi congressman could conversationswithalex semst
@notmuchelse Giving birth is not pushing women toward death. #SemST,Legalization of Abortion,AGAINST,WO,neg,Giving birth is not pushing women toward death. SemST,1,['SemST'],give birth not push women toward death semst
Being a Democrat is never having to say you're sorry... #Slavery #Segregation #KKK #SemST,Legalization of Abortion,NONE,WO,neg,Being a Democrat is never having to say you're sorry... Slavery Segregation KKK SemST,4,"['Slavery', 'Segregation', 'KKK', 'SemST']",be democrat never say sorri slaveri segreg kkk semst
@meamhere It isn't going to happen. The LW and the RW have too many differences. #ForeignPolicy #HealthCareLegislation #Economics #SemST,Legalization of Abortion,NONE,WO,neg,It isn't going to happen. The LW and the RW have too many differences. ForeignPolicy HealthCareLegislation Economics SemST,4,"['ForeignPolicy', 'HealthCareLegislation', 'Economics', 'SemST']",it go happen the lw rw mani differ foreignpolici healthcarelegisl econom semst
@BuhayIpaglaban @laurawrpie @JaxLeSigh Like I said I'm glad this medical procedure is around so that pregnant people stay healthy. #SemST,Legalization of Abortion,NONE,WO,pos,Like I said I'm glad this medical procedure is around so that pregnant people stay healthy. SemST,1,['SemST'],like i said i glad medic procedur around pregnant peopl stay healthi semst
@Independent_ie No one has 5he right to tell any person what they should do with their body #SemST,Legalization of Abortion,AGAINST,EO,neg,No one has 5he right to tell any person what they should do with their body SemST,1,['SemST'],no one right tell person bodi semst
#FF #Patriot --> PigsWalkUpright.  Thanks 4 following back!! #Truth #Liberty #Justice #ProIsrael #2A #RiseUpAmerica #ProudAmerican #SemST,Legalization of Abortion,NONE,NO,pos,FF Patriot --> PigsWalkUpright. Thanks 4 following back!! Truth Liberty Justice ProIsrael 2A RiseUpAmerica ProudAmerican SemST,10,"['FF', 'Patriot', 'Truth', 'Liberty', 'Justice', 'ProIsrael', '2A', 'RiseUpAmerica', 'ProudAmerican', 'SemST']",ff patriot pigswalkupright thank follow back truth liberti justic proisrael a riseupamerica proudamerican semst
@laurawrpie what do u call #teens hu got #pregnant even while ingesting contraceptives? success? Can a chaste girl get pregnant? #SemST,Legalization of Abortion,AGAINST,WO,neg,what do u call teens hu got pregnant even while ingesting contraceptives? success? Can a chaste girl get pregnant? SemST,3,"['teens', 'pregnant', 'SemST']",u call teen hu got pregnant even ingest contracept success can chast girl get pregnant semst
I wonder if #antichoice ever wonder if the pregnant #teen they denied accurate #SexED to could have been the one to cure cancer. #SemST,Legalization of Abortion,FAVOR,EO,neg,I wonder if antichoice ever wonder if the pregnant teen they denied accurate SexED to could have been the one to cure cancer. SemST,4,"['antichoice', 'teen', 'SexED', 'SemST']",i wonder antichoic ever wonder pregnant teen deni accur sex could one cure cancer semst
The government has given no explanation of why the law was changed #macedonia #HRCtte #SemST,Legalization of Abortion,AGAINST,EO,neg,The government has given no explanation of why the law was changed macedonia HRCtte SemST,3,"['macedonia', 'HRCtte', 'SemST']",the govern given explan law chang macedonia hrctte semst
"@BuhayIpaglaban @blueskies366 The culture of death is ""#prolife"" who deny pregnant people healthcare. #SemST",Legalization of Abortion,AGAINST,WO,neg,"The culture of death is ""prolife"" who deny pregnant people healthcare. SemST",2,"['prolife', 'SemST']",the cultur death prolif deni pregnant peopl healthcar semst
