Tweet,Target,Stance,Opinion Towards,Sentiment,first_cleaning_text,n_hashtags,hashtags,cleaned_text
"@BuhayIpaglaban @blueskies366 Remember that there is no ""murder"" involed in #abortion. I am #ProContraception for LESS #abortion. #SemST",Legalization of Abortion,AGAINST,EO,neg,"Remember that there is no ""murder"" involed in abortion. I am ProContraception for LESS abortion. SemST",4,"['abortion', 'ProContraception', 'abortion', 'SemST']",rememb murder invol abort i procontracept less abort semst
FYI: Unborn babies diagnosed with a disability in the womb can feel pain just as much as a baby without a diagnosis #theyfeelpain #SemST,Legalization of Abortion,AGAINST,EO,neg,FYI: Unborn babies diagnosed with a disability in the womb can feel pain just as much as a baby without a diagnosis theyfeelpain SemST,2,"['theyfeelpain', 'SemST']",fyi unborn babi diagnos disabl womb feel pain much babi without diagnosi theyfeelpain semst
These dems' lack of compassion for unborn babies who receive prenatal diagnoses is appalling #theyfeelpain #SemST,Legalization of Abortion,AGAINST,EO,neg,These dems' lack of compassion for unborn babies who receive prenatal diagnoses is appalling theyfeelpain SemST,2,"['theyfeelpain', 'SemST']",these dem lack compass unborn babi receiv prenat diagnos appal theyfeelpain semst
There should be no law or funding which justifies the murder of innocent life.   #CCOT #pjnet #SemST,Legalization of Abortion,AGAINST,EO,neg,There should be no law or funding which justifies the murder of innocent life. CCOT pjnet SemST,3,"['CCOT', 'pjnet', 'SemST']",there law fund justifi murder innoc life ccot pjnet semst
"AmandaKayHowell: Dear to who it may concern;""YOU stand up for my right to live.   #Baby #murder #RightToLife #unborn #wo... #SemST",Legalization of Abortion,AGAINST,EO,neg,"AmandaKayHowell: Dear to who it may concern;""YOU stand up for my right to live. Baby murder RightToLife unborn wo... SemST",6,"['Baby', 'murder', 'RightToLife', 'unborn', 'wo', 'SemST']",amandakayhowel dear may concern you stand right live babi murder righttolif unborn wo semst
"Meanwhile, @JustinTrudeau wants to waste your money to kill innocent children in the womb. #dangerous #hypocrite #noChoice #SemST",Legalization of Abortion,AGAINST,EO,neg,"Meanwhile, wants to waste your money to kill innocent children in the womb. dangerous hypocrite noChoice SemST",4,"['dangerous', 'hypocrite', 'noChoice', 'SemST']",meanwhil want wast money kill innoc children womb danger hypocrit nochoic semst
#NothingMoreAmericanThan unjustified homicide of the unborn in #SemST,Legalization of Abortion,AGAINST,EO,neg,NothingMoreAmericanThan unjustified homicide of the unborn in SemST,2,"['NothingMoreAmericanThan', 'SemST']",nothingmoreamericanthan unjustifi homicid unborn semst
I will fight for the unborn! #SemST,Legalization of Abortion,AGAINST,EO,pos,I will fight for the unborn! SemST,1,['SemST'],i fight unborn semst
@BuhayIpaglaban @_msthirdward @laurawrpie Who defends murder here? I haven't heard anyone defending the killing of human beings. #SemST,Legalization of Abortion,AGAINST,EO,neg,Who defends murder here? I haven't heard anyone defending the killing of human beings. SemST,1,['SemST'],who defend murder i heard anyon defend kill human be semst
I get several requests with petitions to save whales but never to stop the slaughter of babies in the wombs of mothers. #abortion. #SemST,Legalization of Abortion,AGAINST,WO,neg,I get several requests with petitions to save whales but never to stop the slaughter of babies in the wombs of mothers. abortion. SemST,2,"['abortion', 'SemST']",i get sever request petit save whale never stop slaughter babi womb mother abort semst
