Tweet,Target,Stance,Opinion Towards,Sentiment,first_cleaning_text,n_hashtags,hashtags,cleaned_text
I just unfollowed someone because they tweeted about being pro-life #SemST,Legalization of Abortion,AGAINST,EO,neg,I just unfollowed someone because they tweeted about being pro-life SemST,1,['SemST'],i unfollow someon tweet pro life semst
"For he who avenges blood remembers, he does not ignore the cry of the afflicted. ~ Ps 9:12 #comequicklyLordJesus #SemST",Legalization of Abortion,AGAINST,EO,other,"For he who avenges blood remembers, he does not ignore the cry of the afflicted. ~ Ps 9:12 comequicklyLordJesus SemST",2,"['comequicklyLordJesus', 'SemST']",for aveng blood rememb not ignor cri afflict ps comequicklylordjesus semst
"#DefentThe8th? Why would I defend something that kills people? Remember #Savita, killed by Irish ""#prolife"" laws? #RepealThe8th #SemST",Legalization of Abortion,AGAINST,WO,neg,"DefentThe8th? Why would I defend something that kills people? Remember Savita, killed by Irish ""prolife"" laws? RepealThe8th SemST",5,"['DefentThe8th', 'Savita', 'prolife', 'RepealThe8th', 'SemST']",defentth th whi would i defend someth kill peopl rememb savita kill irish prolif law repealth th semst
"@paradiselost_17 @ArguDaz @Brainman365 @PolarVan @yetigcreature Yes, an occasional hypocrite. I support #MarriageEquaility & abhor #SemST",Legalization of Abortion,NONE,WO,neg,"Yes, an occasional hypocrite. I support MarriageEquaility & abhor SemST",2,"['MarriageEquaility', 'SemST']",yes occasion hypocrit i support marriageequail abhor semst
I would never expect an 11 year old girl to have to carry a pregnancy to term #SemST,Legalization of Abortion,FAVOR,EO,neg,I would never expect an 11 year old girl to have to carry a pregnancy to term SemST,1,['SemST'],i would never expect year old girl carri pregnanc term semst
@djred678 : My views are my own. #AllLivesMatter #PrebornLivesMatter #AbortionIsViolence #Whyi'mNotVotingForHillary #SemST,Legalization of Abortion,AGAINST,EO,neg,: My views are my own. AllLivesMatter PrebornLivesMatter AbortionIsViolence Whyi'mNotVotingForHillary SemST,5,"['AllLivesMatter', 'PrebornLivesMatter', 'AbortionIsViolence', 'Whyi', 'SemST']",my view alllivesmatt prebornlivesmatt abortionisviol whyi mnotvotingforhillari semst
"Not sure where I stand on God and religion.  Still, don't need to be a Christian or religious to be against abortion.  #evil #SemST",Legalization of Abortion,AGAINST,EO,neg,"Not sure where I stand on God and religion. Still, don't need to be a Christian or religious to be against abortion. evil SemST",2,"['evil', 'SemST']",not sure i stand god religion still need christian religi abort evil semst
Pray for the Navy yard. God please keep the casualties minimal.   #1A #2A #NRA #COS #CCOT #TGDN #PJNET  #WAKEUPAMERICA #SemST,Legalization of Abortion,AGAINST,WO,pos,Pray for the Navy yard. God please keep the casualties minimal. 1A 2A NRA COS CCOT TGDN PJNET WAKEUPAMERICA SemST,9,"['1A', '2A', 'NRA', 'COS', 'CCOT', 'TGDN', 'PJNET', 'WAKEUPAMERICA', 'SemST']",pray navi yard god pleas keep casualti minim a a nra cos ccot tgdn pjnet wakeupamerica semst
"@_msthirdward @BuhayIpaglaban @blueskies366 It's never been about ""life"" has it? ""#Prolife"" are OK with women dying. #SemST",Legalization of Abortion,AGAINST,EO,neg,"It's never been about ""life"" has it? ""Prolife"" are OK with women dying. SemST",2,"['Prolife', 'SemST']",it never life prolif ok women die semst
"I'm against abortion, gay marriage, AND Donald Trump for President. #gaymarriage #DonaldTrump #SemST",Legalization of Abortion,AGAINST,EO,neg,"I'm against abortion, gay marriage, AND Donald Trump for President. gaymarriage DonaldTrump SemST",3,"['gaymarriage', 'DonaldTrump', 'SemST']",i abort gay marriag and donald trump presid gaymarriag donaldtrump semst
"@BuhayIpaglaban @laurawrpie Every time I ""discuss"" with ""#prolife"" it reaffirms my belief that #antichoice are complete idiots. #SemST",Legalization of Abortion,FAVOR,EO,neg,"Every time I ""discuss"" with ""prolife"" it reaffirms my belief that antichoice are complete idiots. SemST",3,"['prolife', 'antichoice', 'SemST']",everi time i discuss prolif reaffirm belief antichoic complet idiot semst
Happy July 4th- freedom day! Let liberty ring out! #freedom #Faith #Jesus #REVIVAL #Life #tcot #SemST,Legalization of Abortion,AGAINST,WO,pos,Happy July 4th- freedom day! Let liberty ring out! freedom Faith Jesus REVIVAL Life tcot SemST,7,"['freedom', 'Faith', 'Jesus', 'REVIVAL', 'Life', 'tcot', 'SemST']",happi juli th freedom day let liberti ring freedom faith jesus reviv life tcot semst
"we must always see others as Christ sees us,we must see God in all things&remeber 2 look past sin #RomanCatholic #SemST",Legalization of Abortion,AGAINST,WO,pos,"we must always see others as Christ sees us,we must see God in all things&remeber 2 look past sin RomanCatholic SemST",2,"['RomanCatholic', 'SemST']",must alway see other christ see us must see god thing remeb look past sin romancathol semst
you can't say you support women's rights but be against abortion #SemST,Legalization of Abortion,AGAINST,EO,neg,you can't say you support women's rights but be against abortion SemST,1,['SemST'],say support women right abort semst
"@BuhayIpaglaban So you've blown right past the whole ""women stopped dying after RvW"" thing. #prolifelie #hashtagitall #SemST",Legalization of Abortion,AGAINST,EO,neg,"So you've blown right past the whole ""women stopped dying after RvW"" thing. prolifelie hashtagitall SemST",3,"['prolifelie', 'hashtagitall', 'SemST']",so blown right past whole women stop die rvw thing prolifeli hashtagital semst
"Not all women want to have or bear children, and that is okay  #SemST",Legalization of Abortion,FAVOR,EO,pos,"Not all women want to have or bear children, and that is okay SemST",1,['SemST'],not women want bear children okay semst
@notmuchelse But of course today one doesn't have to be responsible You can kill your child instead! #SemST,Legalization of Abortion,AGAINST,EO,neg,But of course today one doesn't have to be responsible You can kill your child instead! SemST,1,['SemST'],but cours today one respons you kill child instead semst
"@kingstonpolice @ShowTruth ""Freedom of Expression? Does that mean that I can display pornography in public if I am against it? #SemST",Legalization of Abortion,NONE,WO,neg,"""Freedom of Expression? Does that mean that I can display pornography in public if I am against it? SemST",1,['SemST'],freedom express doe mean i display pornographi public i semst
So the #Democrats tore down their OWN #ConfederateFlag NOW if they get rid of THEIR #KKK #blackpanthers #alsharpton #hate #SemST,Legalization of Abortion,NONE,WO,neg,So the Democrats tore down their OWN ConfederateFlag NOW if they get rid of THEIR KKK blackpanthers alsharpton hate SemST,7,"['Democrats', 'ConfederateFlag', 'KKK', 'blackpanthers', 'alsharpton', 'hate', 'SemST']",so democrat tore own confederateflag now get rid their kkk blackpanth alsharpton hate semst
I have a right to identify as pregnant and have an abortion. Having an abortion confirms my power of choice. #PregnancyForAll #SemST,Legalization of Abortion,AGAINST,WO,pos,I have a right to identify as pregnant and have an abortion. Having an abortion confirms my power of choice. PregnancyForAll SemST,2,"['PregnancyForAll', 'SemST']",i right identifi pregnant abort have abort confirm power choic pregnancyforal semst
"In Turkey at ze momento, just got internet and started reading @BarrettWeed 's tweets, literally just KILLING IT!!  #SemST",Legalization of Abortion,NONE,WO,pos,"In Turkey at ze momento, just got internet and started reading 's tweets, literally just KILLING IT!! SemST",1,['SemST'],in turkey ze momento got internet start read tweet liter kill it semst
Congrats to my friends at @SBAList and @WRTL for their commitment in getting Pain-Capable Act passed. #wiright #theyfeelpain #SemST,Legalization of Abortion,AGAINST,EO,pos,Congrats to my friends at and for their commitment in getting Pain-Capable Act passed. wiright theyfeelpain SemST,3,"['wiright', 'theyfeelpain', 'SemST']",congrat friend commit get pain capabl act pass wiright theyfeelpain semst
"If we are pronounced dead when our heart stops, why are we not pronounced alive when our heart starts? #SemST",Legalization of Abortion,AGAINST,EO,neg,"If we are pronounced dead when our heart stops, why are we not pronounced alive when our heart starts? SemST",1,['SemST'],if pronounc dead heart stop not pronounc aliv heart start semst
