Tweet,Target,Stance,Opinion Towards,Sentiment,first_cleaning_text,n_hashtags,hashtags,cleaned_text
",@CoraSherlock When is Ms C case you've been promising happening? When'll a court be asked adjudicate her claims? #repealthe8th #SemST",Legalization of Abortion,AGAINST,EO,neg,",@CoraSherlock When is Ms C case you've been promising happening? When'll a court be asked adjudicate her claims? repealthe8th SemST",2,"['repealthe8th', 'SemST']",corasherlock when ms c case promis happen when court ask adjud claim repealth th semst
Solidarity with all at the counter #rally4life - Ireland won't be equal until women have full control of our bodies #repealthe8th #SemST,Legalization of Abortion,AGAINST,EO,pos,Solidarity with all at the counter rally4life - Ireland won't be equal until women have full control of our bodies repealthe8th SemST,3,"['rally4life', 'repealthe8th', 'SemST']",solidar counter ralli life ireland equal women full control bodi repealth th semst
Congrats to my friends at @SBAList and @WRTL for their commitment in getting Pain-Capable Act passed. #wiright #theyfeelpain #SemST,Legalization of Abortion,AGAINST,EO,pos,Congrats to my friends at and for their commitment in getting Pain-Capable Act passed. wiright theyfeelpain SemST,3,"['wiright', 'theyfeelpain', 'SemST']",congrat friend commit get pain capabl act pass wiright theyfeelpain semst
"#rally4life because if they don't want an abortion, then no one can have the choice  #SemST",Legalization of Abortion,AGAINST,EO,neg,"rally4life because if they don't want an abortion, then no one can have the choice SemST",2,"['rally4life', 'SemST']",ralli life want abort one choic semst
"In so many ways to Christians right here in America we already ARE the ""Great Satan"" #GayMarriage #Drugs #WakeUpAmerica #SemST",Legalization of Abortion,AGAINST,WO,neg,"In so many ways to Christians right here in America we already ARE the ""Great Satan"" GayMarriage Drugs WakeUpAmerica SemST",4,"['GayMarriage', 'Drugs', 'WakeUpAmerica', 'SemST']",in mani way christian right america alreadi are great satan gaymarriag drug wakeupamerica semst
"@irritatedwoman I don't know about you, but I didn't vote for the GOP to capitulate to the Dems. #AllLivesMatter #SemST",Legalization of Abortion,AGAINST,WO,neg,"I don't know about you, but I didn't vote for the GOP to capitulate to the Dems. AllLivesMatter SemST",2,"['AllLivesMatter', 'SemST']",i know i vote gop capitul dem alllivesmatt semst
"In Turkey at ze momento, just got internet and started reading @BarrettWeed 's tweets, literally just KILLING IT!!  #SemST",Legalization of Abortion,NONE,WO,pos,"In Turkey at ze momento, just got internet and started reading 's tweets, literally just KILLING IT!! SemST",1,['SemST'],in turkey ze momento got internet start read tweet liter kill it semst
pro-choicers are basically tryna fight oppression with more  oppression . #feminist #SemST,Legalization of Abortion,AGAINST,WO,neg,pro-choicers are basically tryna fight oppression with more oppression . feminist SemST,2,"['feminist', 'SemST']",pro choicer basic tryna fight oppress oppress feminist semst
@nosilentsprings And an even worse place from which to make medical decisions FOR OTHER PEOPLE #mybodymychoice #notyours #notgovt #SemST,Legalization of Abortion,FAVOR,EO,neg,And an even worse place from which to make medical decisions FOR OTHER PEOPLE mybodymychoice notyours notgovt SemST,4,"['mybodymychoice', 'notyours', 'notgovt', 'SemST']",and even wors place make medic decis for other peopl mybodymychoic notyour notgovt semst
Being a Democrat is never having to say you're sorry... #Slavery #Segregation #KKK #SemST,Legalization of Abortion,NONE,WO,neg,Being a Democrat is never having to say you're sorry... Slavery Segregation KKK SemST,4,"['Slavery', 'Segregation', 'KKK', 'SemST']",be democrat never say sorri slaveri segreg kkk semst
The government has given no explanation of why the law was changed #macedonia #HRCtte #SemST,Legalization of Abortion,AGAINST,EO,neg,The government has given no explanation of why the law was changed macedonia HRCtte SemST,3,"['macedonia', 'HRCtte', 'SemST']",the govern given explan law chang macedonia hrctte semst
Oh you dont like that Im Pro-choice.  Pftt. Dont try to force me to be pro-life. Fuck off   #sorrynotsorry #SemST,Legalization of Abortion,FAVOR,EO,neg,Oh you dont like that Im Pro-choice. Pftt. Dont try to force me to be pro-life. Fuck off sorrynotsorry SemST,2,"['sorrynotsorry', 'SemST']",oh dont like im pro choic pftt dont tri forc pro life fuck sorrynotsorri semst
Where is the childcare program @joanburton which you said would be in place? #loneparents #7istooyoung #SemST,Legalization of Abortion,AGAINST,WO,neg,Where is the childcare program which you said would be in place? loneparents 7istooyoung SemST,3,"['loneparents', '7istooyoung', 'SemST']",where childcar program said would place lonepar istooyoung semst
Every year I see #rally4life ads & think 'that sounds great!' Stop tricking me into thinking you want sth positive! #repealthe8th #SemST,Legalization of Abortion,AGAINST,EO,neg,Every year I see rally4life ads & think 'that sounds great!' Stop tricking me into thinking you want sth positive! repealthe8th SemST,3,"['rally4life', 'repealthe8th', 'SemST']",everi year i see ralli life ad think sound great stop trick think want sth posit repealth th semst
The #rally4life  shows yet again what little support these people have.  #repealthe8th #SemST,Legalization of Abortion,AGAINST,EO,neg,The rally4life shows yet again what little support these people have. repealthe8th SemST,3,"['rally4life', 'repealthe8th', 'SemST']",the ralli life show yet littl support peopl repealth th semst
"@PrevailChris Sexual Assault is Epidemic.. Not just in Military, Colleges, Universities. Fight 2 Stop this Crime=Less Need 4 #SemST",Legalization of Abortion,AGAINST,EO,neg,"Sexual Assault is Epidemic.. Not just in Military, Colleges, Universities. Fight 2 Stop this Crime=Less Need 4 SemST",1,['SemST'],sexual assault epidem not militari colleg univers fight stop crime less need semst
I'll celebrate #IndependenceDay when EVERYONE in this country is equally free & not living in fear & poverty! #EqualityForAll #p2 #SemST,Legalization of Abortion,AGAINST,EO,other,I'll celebrate IndependenceDay when EVERYONE in this country is equally free & not living in fear & poverty! EqualityForAll p2 SemST,4,"['IndependenceDay', 'EqualityForAll', 'p2', 'SemST']",i celebr independenceday everyon countri equal free not live fear poverti equalityforal p semst
If #Freewill is good enough for your #god it should be good enough for you. #SemST,Legalization of Abortion,AGAINST,EO,pos,If Freewill is good enough for your god it should be good enough for you. SemST,3,"['Freewill', 'god', 'SemST']",if freewil good enough god good enough semst
"The point is BODILY AUTONOMY. A born child can rely on other people, and can LIVE by itself   #SemST",Legalization of Abortion,AGAINST,EO,neg,"The point is BODILY AUTONOMY. A born child can rely on other people, and can LIVE by itself SemST",1,['SemST'],the point bodili autonomi a born child reli peopl live semst
A much needed 3 days with these guys @rory3burke @Im_Brady missed @JimmahTwittah but what a weekend #SemST,Legalization of Abortion,AGAINST,WO,pos,A much needed 3 days with these guys missed but what a weekend SemST,1,['SemST'],a much need day guy miss weekend semst
"#Fiona Bruce wants a government that forces women to have children, and then refuses to financially help them. #bodyautonomy #SemST",Legalization of Abortion,FAVOR,EO,neg,"Fiona Bruce wants a government that forces women to have children, and then refuses to financially help them. bodyautonomy SemST",3,"['Fiona', 'bodyautonomy', 'SemST']",fiona bruce want govern forc women children refus financi help bodyautonomi semst
Why are Tumblr feminists so territorial? Pro-lifers can't even voice their opinions without being attacked. #ProLifeProblems #SemST,Legalization of Abortion,AGAINST,EO,neg,Why are Tumblr feminists so territorial? Pro-lifers can't even voice their opinions without being attacked. ProLifeProblems SemST,2,"['ProLifeProblems', 'SemST']",whi tumblr feminist territori pro lifer even voic opinion without attack prolifeproblem semst
A bundle of cells feels more pain than a fully grown women? no. #SemST,Legalization of Abortion,AGAINST,EO,neg,A bundle of cells feels more pain than a fully grown women? no. SemST,1,['SemST'],a bundl cell feel pain fulli grown women semst
"Fallopians 3:16 ""Not your fuckin' pregnancy - not your fuckin' business!""  #SemST",Legalization of Abortion,FAVOR,EO,neg,"Fallopians 3:16 ""Not your fuckin' pregnancy - not your fuckin' business!"" SemST",1,['SemST'],fallopian not fuckin pregnanc not fuckin busi semst
Living in a pub isnt all that good when your friends turn into alcoholics @jbrowne_94  #refresher #smurf #noonewillunderstand #SemST,Legalization of Abortion,NONE,WO,neg,Living in a pub isnt all that good when your friends turn into alcoholics refresher smurf noonewillunderstand SemST,4,"['refresher', 'smurf', 'noonewillunderstand', 'SemST']",live pub isnt good friend turn alcohol refresh smurf noonewillunderstand semst
"#rally4life Motherhood is for some much-wanted,for others it is not.It should be by choice, not by force. Respect women's choices #SemST",Legalization of Abortion,AGAINST,EO,pos,"rally4life Motherhood is for some much-wanted,for others it is not.It should be by choice, not by force. Respect women's choices SemST",2,"['rally4life', 'SemST']",ralli life motherhood much want other not it choic not forc respect women choic semst
Please vote against the anti-choice amendment to the Scotland Bill on Monday @KevinBrennanMP - Thanks! #abortionrights #SemST,Legalization of Abortion,AGAINST,EO,pos,Please vote against the anti-choice amendment to the Scotland Bill on Monday - Thanks! abortionrights SemST,2,"['abortionrights', 'SemST']",pleas vote anti choic amend scotland bill monday thank abortionright semst
@GBPstaff 1999 Meet the Press admitted to being Very Pro-Choice even with late term & Partial Birth Abortions.  He's sick!  #SemST,Legalization of Abortion,AGAINST,EO,neg,1999 Meet the Press admitted to being Very Pro-Choice even with late term & Partial Birth Abortions. He's sick! SemST,1,['SemST'],meet press admit veri pro choic even late term partial birth abort he sick semst
Today is a great because we are alive. #SemST,Legalization of Abortion,NONE,WO,pos,Today is a great because we are alive. SemST,1,['SemST'],today great aliv semst
"RT @RandForeman: It's so easy to be Pro-Choice, especially when you're not the one getting your skull crushed. #SemST",Legalization of Abortion,AGAINST,EO,neg,"RT It's so easy to be Pro-Choice, especially when you're not the one getting your skull crushed. SemST",1,['SemST'],rt it easi pro choic especi not one get skull crush semst
@meamhere It isn't going to happen. The LW and the RW have too many differences. #ForeignPolicy #HealthCareLegislation #Economics #SemST,Legalization of Abortion,NONE,WO,neg,It isn't going to happen. The LW and the RW have too many differences. ForeignPolicy HealthCareLegislation Economics SemST,4,"['ForeignPolicy', 'HealthCareLegislation', 'Economics', 'SemST']",it go happen the lw rw mani differ foreignpolici healthcarelegisl econom semst
asked a protester-u'll fund the moms?Yes-So #announced it in DT #hamont-yo ppl #NoAbortion=these ppl wth picz will pay 4yo' kids #SemST,Legalization of Abortion,AGAINST,EO,other,asked a protester-u'll fund the moms?Yes-So announced it in DT hamont-yo ppl NoAbortion=these ppl wth picz will pay 4yo' kids SemST,4,"['announced', 'hamont', 'NoAbortion', 'SemST']",ask protest u fund mom yes so announc dt hamont yo ppl noabort ppl wth picz pay yo kid semst
"@BuresLynn @sallykohn @CoFemale Kohn is also anti-human rights, anti-social justice, anti-peace, pro-violence.  #SemST",Legalization of Abortion,NONE,WO,neg,"Kohn is also anti-human rights, anti-social justice, anti-peace, pro-violence. SemST",1,['SemST'],kohn also anti human right anti social justic anti peac pro violenc semst
if truth is a micro aggression 2 the left Why is name calling by the left not a mega hypocrisy? #UniteBlue #LibCrib #maddow #SemST,Legalization of Abortion,AGAINST,EO,neg,if truth is a micro aggression 2 the left Why is name calling by the left not a mega hypocrisy? UniteBlue LibCrib maddow SemST,4,"['UniteBlue', 'LibCrib', 'maddow', 'SemST']",truth micro aggress left whi name call left not mega hypocrisi uniteblu libcrib maddow semst
Yes. Antis just don't make sense.  #WarOnWomen #SemST,Legalization of Abortion,NONE,WO,neg,Yes. Antis just don't make sense. WarOnWomen SemST,2,"['WarOnWomen', 'SemST']",yes anti make sens waronwomen semst
@gaz_dance I'm good like this. I've always been #SemST,Legalization of Abortion,NONE,WO,pos,I'm good like this. I've always been SemST,1,['SemST'],i good like i alway semst
@JujuChangABC abortions should never be illegal. It should be the pregnant person's choice. Especially if that person was rape #SemST,Legalization of Abortion,FAVOR,EO,neg,abortions should never be illegal. It should be the pregnant person's choice. Especially if that person was rape SemST,1,['SemST'],abort never illeg it pregnant person choic especi person rape semst
Wish I could be at the #rallyforlife counter protest. Women are people. Fetuses are clumps of cells. End of story. #ireland #SemST,Legalization of Abortion,AGAINST,EO,other,Wish I could be at the rallyforlife counter protest. Women are people. Fetuses are clumps of cells. End of story. ireland SemST,3,"['rallyforlife', 'ireland', 'SemST']",wish i could rallyforlif counter protest women peopl fetus clump cell end stori ireland semst
@HillaryClinton #gop as whole party has backwards ideas on #immigration #votingrights #womensright #civilrights. #healthcare #dapa #SemST,Legalization of Abortion,AGAINST,WO,neg,gop as whole party has backwards ideas on immigration votingrights womensright civilrights. healthcare dapa SemST,8,"['gop', 'immigration', 'votingrights', 'womensright', 'civilrights', 'healthcare', 'dapa', 'SemST']",gop whole parti backward idea immigr votingright womensright civilright healthcar dapa semst
"As a man, the only body I should have a say in is my own. #repealthe8th #rally4life #SemST",Legalization of Abortion,AGAINST,EO,neg,"As a man, the only body I should have a say in is my own. repealthe8th rally4life SemST",3,"['repealthe8th', 'rally4life', 'SemST']",as man bodi i say repealth th ralli life semst
"Why would I want to make choices about my own body, when a congressman could do it for me?  #ConversationsWithAlex #SemST",Legalization of Abortion,AGAINST,EO,neg,"Why would I want to make choices about my own body, when a congressman could do it for me? ConversationsWithAlex SemST",2,"['ConversationsWithAlex', 'SemST']",whi would i want make choic bodi congressman could conversationswithalex semst
@BuhayIpaglaban @laurawrpie @_msthirdward @blueskies366 I'm totally cool with this image. Was the fetus unviable? Health at risk? #SemST,Legalization of Abortion,AGAINST,EO,other,I'm totally cool with this image. Was the fetus unviable? Health at risk? SemST,1,['SemST'],i total cool imag was fetus unviabl health risk semst
@notmuchelse Giving birth is not pushing women toward death. #SemST,Legalization of Abortion,AGAINST,WO,neg,Giving birth is not pushing women toward death. SemST,1,['SemST'],give birth not push women toward death semst
@Independent_ie No one has 5he right to tell any person what they should do with their body #SemST,Legalization of Abortion,AGAINST,EO,neg,No one has 5he right to tell any person what they should do with their body SemST,1,['SemST'],no one right tell person bodi semst
"We declare that all people have worth and value even if the whole world calls them ""unwanted""! #SemST",Legalization of Abortion,AGAINST,EO,neg,"We declare that all people have worth and value even if the whole world calls them ""unwanted""! SemST",1,['SemST'],we declar peopl worth valu even whole world call unwant semst
'Snarck' - a snarky hack who puts down ordinary folk who dares question their pontifical commentaries  #SemST,Legalization of Abortion,NONE,WO,neg,'Snarck' - a snarky hack who puts down ordinary folk who dares question their pontifical commentaries SemST,1,['SemST'],snarck snarki hack put ordinari folk dare question pontif commentari semst
@ubiquity75 @Aaron_Hamm well said. Men are playing political football with women's right to have control over our bodies. #fail #SemST,Legalization of Abortion,FAVOR,EO,neg,well said. Men are playing political football with women's right to have control over our bodies. fail SemST,2,"['fail', 'SemST']",well said men play polit footbal women right control bodi fail semst
"@BuhayIpaglaban @blueskies366 The culture of death is ""#prolife"" who deny pregnant people healthcare. #SemST",Legalization of Abortion,AGAINST,WO,neg,"The culture of death is ""prolife"" who deny pregnant people healthcare. SemST",2,"['prolife', 'SemST']",the cultur death prolif deni pregnant peopl healthcar semst
89% of abortions occur at the 12th week or before #letstalkabortion #SemST,Legalization of Abortion,NONE,NO,neg,89% of abortions occur at the 12th week or before letstalkabortion SemST,2,"['letstalkabortion', 'SemST']",abort occur th week letstalkabort semst
1.2% of abortions happen at 21 weeks+  (these are only exceptions) #letstalkabortion #SemST,Legalization of Abortion,NONE,NO,other,1.2% of abortions happen at 21 weeks+ (these are only exceptions) letstalkabortion SemST,2,"['letstalkabortion', 'SemST']",abort happen week except letstalkabort semst
Women ARE capable of making decisions #SemST,Legalization of Abortion,FAVOR,WO,pos,Women ARE capable of making decisions SemST,1,['SemST'],women are capabl make decis semst
@BuhayIpaglaban @laurawrpie @JaxLeSigh Like I said I'm glad this medical procedure is around so that pregnant people stay healthy. #SemST,Legalization of Abortion,NONE,WO,pos,Like I said I'm glad this medical procedure is around so that pregnant people stay healthy. SemST,1,['SemST'],like i said i glad medic procedur around pregnant peopl stay healthi semst
I'm really pissed off by vaccines mandates. It's not ok to force parents to inject their kids when there might be consequences. #SemST,Legalization of Abortion,NONE,WO,neg,I'm really pissed off by vaccines mandates. It's not ok to force parents to inject their kids when there might be consequences. SemST,1,['SemST'],i realli piss vaccin mandat it not ok forc parent inject kid might consequ semst
#FF #Patriot --> PigsWalkUpright.  Thanks 4 following back!! #Truth #Liberty #Justice #ProIsrael #2A #RiseUpAmerica #ProudAmerican #SemST,Legalization of Abortion,NONE,NO,pos,FF Patriot --> PigsWalkUpright. Thanks 4 following back!! Truth Liberty Justice ProIsrael 2A RiseUpAmerica ProudAmerican SemST,10,"['FF', 'Patriot', 'Truth', 'Liberty', 'Justice', 'ProIsrael', '2A', 'RiseUpAmerica', 'ProudAmerican', 'SemST']",ff patriot pigswalkupright thank follow back truth liberti justic proisrael a riseupamerica proudamerican semst
Like how can you sit there and even go through with the process #SemST,Legalization of Abortion,NONE,WO,neg,Like how can you sit there and even go through with the process SemST,1,['SemST'],like sit even go process semst
"@MikeDury And don't forget, now ""Private clubs"" and organizations. AKA ~> #GirlScouts & #SemST",Legalization of Abortion,AGAINST,EO,other,"And don't forget, now ""Private clubs"" and organizations. AKA ~> GirlScouts & SemST",2,"['GirlScouts', 'SemST']",and forget privat club organ aka girlscout semst
If it's not a person then why do women get invitro? To have a gold fish? #SemST,Legalization of Abortion,AGAINST,EO,neg,If it's not a person then why do women get invitro? To have a gold fish? SemST,1,['SemST'],if not person women get invitro to gold fish semst
@ProWomanChoice @BuhayIpaglaban people like you are exactly what is wrong with our society. #ProCONTRACEPTION #unapologetic  #SemST,Legalization of Abortion,AGAINST,EO,neg,people like you are exactly what is wrong with our society. ProCONTRACEPTION unapologetic SemST,3,"['ProCONTRACEPTION', 'unapologetic', 'SemST']",peopl like exact wrong societi procontracept unapologet semst
Those who wonder what they would have done had they lived at the time of some terrible injustice now know the answer -P. Hitchens #SemST,Legalization of Abortion,AGAINST,WO,neg,Those who wonder what they would have done had they lived at the time of some terrible injustice now know the answer -P. Hitchens SemST,1,['SemST'],those wonder would done live time terribl injustic know answer p hitchen semst
"I think a woman should have the choice of what to do with HER BODY.. But, what do I know? Im only a woman sure #SemST",Legalization of Abortion,AGAINST,NO,pos,"I think a woman should have the choice of what to do with HER BODY.. But, what do I know? Im only a woman sure SemST",1,['SemST'],i think woman choic her bodi but i know im woman sure semst
#rally4life more like rally for people who think they have the right to authorise other people's decisions #SemST,Legalization of Abortion,AGAINST,EO,neg,rally4life more like rally for people who think they have the right to authorise other people's decisions SemST,2,"['rally4life', 'SemST']",ralli life like ralli peopl think right authoris peopl decis semst
This #rally4life shit! How people support it I'll never understand. #SemST,Legalization of Abortion,AGAINST,EO,neg,This rally4life shit! How people support it I'll never understand. SemST,2,"['rally4life', 'SemST']",this ralli life shit how peopl support i never understand semst
I #DenounceHarper because his religious ties are responsible for the #MarchForLife anti-choice rallies on Parliament Hill. #SemST,Legalization of Abortion,AGAINST,EO,neg,I DenounceHarper because his religious ties are responsible for the MarchForLife anti-choice rallies on Parliament Hill. SemST,3,"['DenounceHarper', 'MarchForLife', 'SemST']",i denounceharp religi tie respons marchforlif anti choic ralli parliament hill semst
@denisemourges @RepThomasMassie I know! I'm the only perfect :-) candidate. #ProCivilLiberties #ProBusiness #ProWorker #ProPeace #SemST,Legalization of Abortion,AGAINST,WO,pos,I know! I'm the only perfect :-) candidate. ProCivilLiberties ProBusiness ProWorker ProPeace SemST,5,"['ProCivilLiberties', 'ProBusiness', 'ProWorker', 'ProPeace', 'SemST']",i know i perfect candid procivilliberti probusi prowork propeac semst
@thejournal_ie sad this is what has to be done for women in need #SemST,Legalization of Abortion,NONE,WO,neg,sad this is what has to be done for women in need SemST,1,['SemST'],sad done women need semst
I wonder if #antichoice ever wonder if the pregnant #teen they denied accurate #SexED to could have been the one to cure cancer. #SemST,Legalization of Abortion,FAVOR,EO,neg,I wonder if antichoice ever wonder if the pregnant teen they denied accurate SexED to could have been the one to cure cancer. SemST,4,"['antichoice', 'teen', 'SexED', 'SemST']",i wonder antichoic ever wonder pregnant teen deni accur sex could one cure cancer semst
The government has not been able to point to any improved health outcomes for women #law #macedonia #HRCtte #SemST,Legalization of Abortion,AGAINST,EO,neg,The government has not been able to point to any improved health outcomes for women law macedonia HRCtte SemST,4,"['law', 'macedonia', 'HRCtte', 'SemST']",the govern not abl point improv health outcom women law macedonia hrctte semst
"Natural family planning isn't ""planning"" at all since it just doesn't work. #SemST",Legalization of Abortion,AGAINST,EO,neg,"Natural family planning isn't ""planning"" at all since it just doesn't work. SemST",1,['SemST'],natur famili plan plan sinc work semst
"@BuhayIpaglaban @_msthirdward @blueskies366 ""Natural"" family planning isn't ""planning"" at all since it just doesn't work. #SemST",Legalization of Abortion,AGAINST,WO,neg,"""Natural"" family planning isn't ""planning"" at all since it just doesn't work. SemST",1,['SemST'],natur famili plan plan sinc work semst
@laurawrpie what do u call #teens hu got #pregnant even while ingesting contraceptives? success? Can a chaste girl get pregnant? #SemST,Legalization of Abortion,AGAINST,WO,neg,what do u call teens hu got pregnant even while ingesting contraceptives? success? Can a chaste girl get pregnant? SemST,3,"['teens', 'pregnant', 'SemST']",u call teen hu got pregnant even ingest contracept success can chast girl get pregnant semst
