Tweet,Target,Stance,Opinion Towards,Sentiment,first_cleaning_text,n_hashtags,hashtags,cleaned_text
"@cbrangel so, you support the choice of wether or not you'd like to kill someone? Would you kill a born baby? #SemST",Legalization of Abortion,AGAINST,EO,neg,"so, you support the choice of wether or not you'd like to kill someone? Would you kill a born baby? SemST",1,['SemST'],support choic wether not like kill someon would kill born babi semst
I am about to deck these 2 bitches in the fucking mouth.  #1A #2A #NRA #COS #CCOT #TGDN #PJNET  #WAKEUPAMERICA #SemST,Legalization of Abortion,AGAINST,WO,neg,I am about to deck these 2 bitches in the fucking mouth. 1A 2A NRA COS CCOT TGDN PJNET WAKEUPAMERICA SemST,9,"['1A', '2A', 'NRA', 'COS', 'CCOT', 'TGDN', 'PJNET', 'WAKEUPAMERICA', 'SemST']",i deck bitch fuck mouth a a nra cos ccot tgdn pjnet wakeupamerica semst
"@kingstonpolice @ShowTruth ""Freedom of Expression? Does that mean that I can display pornography in public if I am against it? #SemST",Legalization of Abortion,NONE,WO,neg,"""Freedom of Expression? Does that mean that I can display pornography in public if I am against it? SemST",1,['SemST'],freedom express doe mean i display pornographi public i semst
@knowj @kalenjordan @benmarks @MageTalk not ashamed to say it's me. I'm not in favor of enc itself as not banning enc modules. #SemST,Legalization of Abortion,NONE,WO,neg,not ashamed to say it's me. I'm not in favor of enc itself as not banning enc modules. SemST,1,['SemST'],not asham say i not favor enc not ban enc modul semst
Every year I see #rally4life ads & think 'that sounds great!' Stop tricking me into thinking you want sth positive! #repealthe8th #SemST,Legalization of Abortion,AGAINST,EO,neg,Every year I see rally4life ads & think 'that sounds great!' Stop tricking me into thinking you want sth positive! repealthe8th SemST,3,"['rally4life', 'repealthe8th', 'SemST']",everi year i see ralli life ad think sound great stop trick think want sth posit repealth th semst
Congrats to my friends at @SBAList and @WRTL for their commitment in getting Pain-Capable Act passed. #wiright #theyfeelpain #SemST,Legalization of Abortion,AGAINST,EO,pos,Congrats to my friends at and for their commitment in getting Pain-Capable Act passed. wiright theyfeelpain SemST,3,"['wiright', 'theyfeelpain', 'SemST']",congrat friend commit get pain capabl act pass wiright theyfeelpain semst
"If we are pronounced dead when our heart stops, why are we not pronounced alive when our heart starts? #SemST",Legalization of Abortion,AGAINST,EO,neg,"If we are pronounced dead when our heart stops, why are we not pronounced alive when our heart starts? SemST",1,['SemST'],if pronounc dead heart stop not pronounc aliv heart start semst
"As a man, the only body I should have a say in is my own. #repealthe8th #rally4life #SemST",Legalization of Abortion,AGAINST,EO,neg,"As a man, the only body I should have a say in is my own. repealthe8th rally4life SemST",3,"['repealthe8th', 'rally4life', 'SemST']",as man bodi i say repealth th ralli life semst
@NBCLA #SB128 isn't opposed merely b/c it's against God's will (as if we're neanderthals). It's murder. Like #SemST,Legalization of Abortion,AGAINST,EO,neg,SB128 isn't opposed merely b/c it's against God's will (as if we're neanderthals). It's murder. Like SemST,2,"['SB128', 'SemST']",sb oppos mere b c god neanderth it murder like semst
"@paradiselost_17 @ArguDaz @Brainman365 @PolarVan @yetigcreature Yes, an occasional hypocrite. I support #MarriageEquaility & abhor #SemST",Legalization of Abortion,NONE,WO,neg,"Yes, an occasional hypocrite. I support MarriageEquaility & abhor SemST",2,"['MarriageEquaility', 'SemST']",yes occasion hypocrit i support marriageequail abhor semst
