Tweet,Target,Stance,Opinion Towards,Sentiment,first_cleaning_text,n_hashtags,hashtags,cleaned_text
"In 1776 we killed the conservatives, freed ourselves from that crap #rightwing #Christian #ChurchState #Tyranny. #Uniteblue #tcot #SemST",Legalization of Abortion,AGAINST,EO,neg,"In 1776 we killed the conservatives, freed ourselves from that crap rightwing Christian ChurchState Tyranny. Uniteblue tcot SemST",7,"['rightwing', 'Christian', 'ChurchState', 'Tyranny', 'Uniteblue', 'tcot', 'SemST']",in kill conserv freed crap rightw christian churchstat tyranni uniteblu tcot semst
@NBCLA #SB128 isn't opposed merely b/c it's against God's will (as if we're neanderthals). It's murder. Like #SemST,Legalization of Abortion,AGAINST,EO,neg,SB128 isn't opposed merely b/c it's against God's will (as if we're neanderthals). It's murder. Like SemST,2,"['SB128', 'SemST']",sb oppos mere b c god neanderth it murder like semst
Living in a pub isnt all that good when your friends turn into alcoholics @jbrowne_94  #refresher #smurf #noonewillunderstand #SemST,Legalization of Abortion,NONE,WO,neg,Living in a pub isnt all that good when your friends turn into alcoholics refresher smurf noonewillunderstand SemST,4,"['refresher', 'smurf', 'noonewillunderstand', 'SemST']",live pub isnt good friend turn alcohol refresh smurf noonewillunderstand semst
What about in cases of rape #SemST,Legalization of Abortion,FAVOR,EO,other,What about in cases of rape SemST,1,['SemST'],what case rape semst
@notmuchelse NO new human individual formed at conception! Full complement of human chromosomes unique individual DNA and alive. #SemST,Legalization of Abortion,AGAINST,EO,neg,NO new human individual formed at conception! Full complement of human chromosomes unique individual DNA and alive. SemST,1,['SemST'],no new human individu form concept full complement human chromosom uniqu individu dna aliv semst
"Compromising on #sin gets easier as time goes on. Oh yeah, it didn't just start! #sexual-impurity #WakeUpAmerica #SemST",Legalization of Abortion,AGAINST,WO,neg,"Compromising on sin gets easier as time goes on. Oh yeah, it didn't just start! sexual-impurity WakeUpAmerica SemST",4,"['sin', 'sexual', 'WakeUpAmerica', 'SemST']",compromis sin get easier time goe oh yeah start sexual impur wakeupamerica semst
Happy July 4th- freedom day! Let liberty ring out! #freedom #Faith #Jesus #REVIVAL #Life #tcot #SemST,Legalization of Abortion,AGAINST,WO,pos,Happy July 4th- freedom day! Let liberty ring out! freedom Faith Jesus REVIVAL Life tcot SemST,7,"['freedom', 'Faith', 'Jesus', 'REVIVAL', 'Life', 'tcot', 'SemST']",happi juli th freedom day let liberti ring freedom faith jesus reviv life tcot semst
Babies are humans to support the prolife movement #SemST,Legalization of Abortion,AGAINST,WO,pos,Babies are humans to support the prolife movement SemST,1,['SemST'],babi human support prolif movement semst
"#rally4life because if they don't want an abortion, then no one can have the choice  #SemST",Legalization of Abortion,AGAINST,EO,neg,"rally4life because if they don't want an abortion, then no one can have the choice SemST",2,"['rally4life', 'SemST']",ralli life want abort one choic semst
Our #TruthTour continues in #CarletonPlace as we show the graphic truth of abortion 2 traffic & pedestrians! #ShowTheTruth #onpoli #SemST,Legalization of Abortion,AGAINST,EO,neg,Our TruthTour continues in CarletonPlace as we show the graphic truth of abortion 2 traffic & pedestrians! ShowTheTruth onpoli SemST,5,"['TruthTour', 'CarletonPlace', 'ShowTheTruth', 'onpoli', 'SemST']",our truthtour continu carletonplac show graphic truth abort traffic pedestrian showthetruth onpoli semst
"DEAR PROABORTS: Using BAD grammar and FILTHY language and INTIMIDATION makes you look ignorant, inept and desperate. #GodWins #SemST",Legalization of Abortion,AGAINST,EO,neg,"DEAR PROABORTS: Using BAD grammar and FILTHY language and INTIMIDATION makes you look ignorant, inept and desperate. GodWins SemST",2,"['GodWins', 'SemST']",dear proabort use bad grammar filthi languag intimid make look ignor inept desper godwin semst
Good thing I don't live in Kingston woulda started a riot by now with this 'pro-life' protest #SemST,Legalization of Abortion,FAVOR,EO,neg,Good thing I don't live in Kingston woulda started a riot by now with this 'pro-life' protest SemST,1,['SemST'],good thing i live kingston woulda start riot pro life protest semst
"We declare that all people have worth and value even if the whole world calls them ""unwanted""! #SemST",Legalization of Abortion,AGAINST,EO,neg,"We declare that all people have worth and value even if the whole world calls them ""unwanted""! SemST",1,['SemST'],we declar peopl worth valu even whole world call unwant semst
"Damn, interesting news when you find out you were almost a product of abortion #SemST",Legalization of Abortion,AGAINST,WO,neg,"Damn, interesting news when you find out you were almost a product of abortion SemST",1,['SemST'],damn interest news find almost product abort semst
There should be no law or funding which justifies the murder of innocent life.   #CCOT #pjnet #SemST,Legalization of Abortion,AGAINST,EO,neg,There should be no law or funding which justifies the murder of innocent life. CCOT pjnet SemST,3,"['CCOT', 'pjnet', 'SemST']",there law fund justifi murder innoc life ccot pjnet semst
PRAYERS FOR BABIES Urgent prayer one in Lexington KY&two in Dallas TX&in Chattanooga TN  Life begins at conception  #SemST,Legalization of Abortion,AGAINST,WO,pos,PRAYERS FOR BABIES Urgent prayer one in Lexington KY&two in Dallas TX&in Chattanooga TN Life begins at conception SemST,1,['SemST'],prayer for babi urgent prayer one lexington ky two dalla tx chattanooga tn life begin concept semst
Just been having rather horrible discussion with @Tim_Hallan - reminder that we have a long way to go. #HumanRights #healthcare #SemST,Legalization of Abortion,NONE,WO,neg,Just been having rather horrible discussion with - reminder that we have a long way to go. HumanRights healthcare SemST,3,"['HumanRights', 'healthcare', 'SemST']",just rather horribl discuss remind long way go humanright healthcar semst
I do not want to bring a child into this dangerous patriarchy. But I want to feel pregnancy as an experience #PregnancyForAll #SemST,Legalization of Abortion,AGAINST,WO,other,I do not want to bring a child into this dangerous patriarchy. But I want to feel pregnancy as an experience PregnancyForAll SemST,2,"['PregnancyForAll', 'SemST']",i not want bring child danger patriarchi but i want feel pregnanc experi pregnancyforal semst
"The point is BODILY AUTONOMY. A born child can rely on other people, and can LIVE by itself   #SemST",Legalization of Abortion,AGAINST,EO,neg,"The point is BODILY AUTONOMY. A born child can rely on other people, and can LIVE by itself SemST",1,['SemST'],the point bodili autonomi a born child reli peopl live semst
@WomanMDsGuide I thought they wanted less unwed mommas and less abortion. #confused #tcot #feminism #SemST,Legalization of Abortion,AGAINST,EO,neg,I thought they wanted less unwed mommas and less abortion. confused tcot feminism SemST,4,"['confused', 'tcot', 'feminism', 'SemST']",i thought want less unw momma less abort confus tcot femin semst
I will visit PEI when all women can get a lawful medical abortion on the island. #Cdnpoli #peipoli #womensrights #SemST,Legalization of Abortion,FAVOR,EO,neg,I will visit PEI when all women can get a lawful medical abortion on the island. Cdnpoli peipoli womensrights SemST,4,"['Cdnpoli', 'peipoli', 'womensrights', 'SemST']",i visit pei women get law medic abort island cdnpoli peipoli womensright semst
Al Robertson's mom #DuckDynasty  chose life as an unwed 16 year old. #SemST,Legalization of Abortion,AGAINST,EO,other,Al Robertson's mom DuckDynasty chose life as an unwed 16 year old. SemST,2,"['DuckDynasty', 'SemST']",al robertson mom duckdynasti chose life unw year old semst
Pray for the Navy yard. God please keep the casualties minimal.   #1A #2A #NRA #COS #CCOT #TGDN #PJNET  #WAKEUPAMERICA #SemST,Legalization of Abortion,AGAINST,WO,pos,Pray for the Navy yard. God please keep the casualties minimal. 1A 2A NRA COS CCOT TGDN PJNET WAKEUPAMERICA SemST,9,"['1A', '2A', 'NRA', 'COS', 'CCOT', 'TGDN', 'PJNET', 'WAKEUPAMERICA', 'SemST']",pray navi yard god pleas keep casualti minim a a nra cos ccot tgdn pjnet wakeupamerica semst
"We need more public funding for birth control, condoms and abortions, especially abortions. #budget2015 #Election2016 #SemST",Legalization of Abortion,FAVOR,EO,neg,"We need more public funding for birth control, condoms and abortions, especially abortions. budget2015 Election2016 SemST",3,"['budget2015', 'Election2016', 'SemST']",we need public fund birth control condom abort especi abort budget elect semst
"Yea, let's make a woman suffer 18 years and raise a child with an unfit parent who hates it because of ""morality"". #SemST",Legalization of Abortion,FAVOR,EO,neg,"Yea, let's make a woman suffer 18 years and raise a child with an unfit parent who hates it because of ""morality"". SemST",1,['SemST'],yea let make woman suffer year rais child unfit parent hate moral semst
Pro Choice? Just choose to kill yourself after your baby is born. #SemST,Legalization of Abortion,AGAINST,EO,neg,Pro Choice? Just choose to kill yourself after your baby is born. SemST,1,['SemST'],pro choic just choos kill babi born semst
The #rally4life  shows yet again what little support these people have.  #repealthe8th #SemST,Legalization of Abortion,AGAINST,EO,neg,The rally4life shows yet again what little support these people have. repealthe8th SemST,3,"['rally4life', 'repealthe8th', 'SemST']",the ralli life show yet littl support peopl repealth th semst
"For he who avenges blood remembers, he does not ignore the cry of the afflicted. ~ Ps 9:12 #comequicklyLordJesus #SemST",Legalization of Abortion,AGAINST,EO,other,"For he who avenges blood remembers, he does not ignore the cry of the afflicted. ~ Ps 9:12 comequicklyLordJesus SemST",2,"['comequicklyLordJesus', 'SemST']",for aveng blood rememb not ignor cri afflict ps comequicklylordjesus semst
MathewsJeanne Thank you 4 your very #kind RT. God Bless You #Patriot. #babies matter #SemST,Legalization of Abortion,AGAINST,WO,pos,MathewsJeanne Thank you 4 your very kind RT. God Bless You Patriot. babies matter SemST,4,"['kind', 'Patriot', 'babies', 'SemST']",mathewsjeann thank kind rt god bless you patriot babi matter semst
asked a protester-u'll fund the moms?Yes-So #announced it in DT #hamont-yo ppl #NoAbortion=these ppl wth picz will pay 4yo' kids #SemST,Legalization of Abortion,AGAINST,EO,other,asked a protester-u'll fund the moms?Yes-So announced it in DT hamont-yo ppl NoAbortion=these ppl wth picz will pay 4yo' kids SemST,4,"['announced', 'hamont', 'NoAbortion', 'SemST']",ask protest u fund mom yes so announc dt hamont yo ppl noabort ppl wth picz pay yo kid semst
"Before I formed you in the womb I knew you, before you were born I set you apart - Jeremiah 1:5 #Godislove #youareloved #SemST",Legalization of Abortion,AGAINST,EO,pos,"Before I formed you in the womb I knew you, before you were born I set you apart - Jeremiah 1:5 Godislove youareloved SemST",3,"['Godislove', 'youareloved', 'SemST']",befor i form womb i knew born i set apart jeremiah godislov youarelov semst
"Dear to who it may concern;""YOU stand up for my right to live.   #Baby #murder #RightToLife #unborn #womensrights #legal #SemST",Legalization of Abortion,AGAINST,EO,neg,"Dear to who it may concern;""YOU stand up for my right to live. Baby murder RightToLife unborn womensrights legal SemST",7,"['Baby', 'murder', 'RightToLife', 'unborn', 'womensrights', 'legal', 'SemST']",dear may concern you stand right live babi murder righttolif unborn womensright legal semst
"@cbrangel so, you support the choice of wether or not you'd like to kill someone? Would you kill a born baby? #SemST",Legalization of Abortion,AGAINST,EO,neg,"so, you support the choice of wether or not you'd like to kill someone? Would you kill a born baby? SemST",1,['SemST'],support choic wether not like kill someon would kill born babi semst
@notmuchelse And accepting with love any children arising from Union of marriage or at least taking responsibility for life created #SemST,Legalization of Abortion,AGAINST,EO,pos,And accepting with love any children arising from Union of marriage or at least taking responsibility for life created SemST,1,['SemST'],and accept love children aris union marriag least take respons life creat semst
Anti-choice laws are entirely men controlling women  #SemST,Legalization of Abortion,FAVOR,EO,neg,Anti-choice laws are entirely men controlling women SemST,1,['SemST'],anti choic law entir men control women semst
Abortion is genocide - I don't think you know what genocide means.  #ygk #SemST,Legalization of Abortion,AGAINST,EO,neg,Abortion is genocide - I don't think you know what genocide means. ygk SemST,2,"['ygk', 'SemST']",abort genocid i think know genocid mean ygk semst
@djred678 : My views are my own. #AllLivesMatter #PrebornLivesMatter #AbortionIsViolence #Whyi'mNotVotingForHillary #SemST,Legalization of Abortion,AGAINST,EO,neg,: My views are my own. AllLivesMatter PrebornLivesMatter AbortionIsViolence Whyi'mNotVotingForHillary SemST,5,"['AllLivesMatter', 'PrebornLivesMatter', 'AbortionIsViolence', 'Whyi', 'SemST']",my view alllivesmatt prebornlivesmatt abortionisviol whyi mnotvotingforhillari semst
I support @GovMikeHuckabee because I want to see Planned Parenthood gone. #SemST,Legalization of Abortion,AGAINST,EO,pos,I support because I want to see Planned Parenthood gone. SemST,1,['SemST'],i support i want see plan parenthood gone semst
The sanctity of human life is not a woman's issue. #antifeminism #SemST,Legalization of Abortion,AGAINST,EO,neg,The sanctity of human life is not a woman's issue. antifeminism SemST,2,"['antifeminism', 'SemST']",the sanctiti human life not woman issu antifemin semst
Like how can you sit there and even go through with the process #SemST,Legalization of Abortion,NONE,WO,neg,Like how can you sit there and even go through with the process SemST,1,['SemST'],like sit even go process semst
