Tweet,Target,Stance,Opinion Towards,Sentiment,first_cleaning_text,n_hashtags,hashtags,cleaned_text
Obama Administration sends 5.6 million dollars to #SemST,Legalization of Abortion,NONE,NO,other,Obama Administration sends 5.6 million dollars to SemST,1,['SemST'],obama administr send million dollar semst
Only one can have bodily autonomy #SemST,Legalization of Abortion,FAVOR,EO,other,Only one can have bodily autonomy SemST,1,['SemST'],onli one bodili autonomi semst
@SenSchumer You sponsored the religious freedom bill. What is this bill that allows killing full term babies in NY? #tcot #SemST,Legalization of Abortion,AGAINST,EO,neg,You sponsored the religious freedom bill. What is this bill that allows killing full term babies in NY? tcot SemST,2,"['tcot', 'SemST']",you sponsor religi freedom bill what bill allow kill full term babi ny tcot semst
if truth is a micro aggression 2 the left Why is name calling by the left not a mega hypocrisy? #UniteBlue #LibCrib #maddow #SemST,Legalization of Abortion,AGAINST,EO,neg,if truth is a micro aggression 2 the left Why is name calling by the left not a mega hypocrisy? UniteBlue LibCrib maddow SemST,4,"['UniteBlue', 'LibCrib', 'maddow', 'SemST']",truth micro aggress left whi name call left not mega hypocrisi uniteblu libcrib maddow semst
#ICCPR report does not cite any reasons for the changes in the legislation regulating. #macedonia #law # #SemST,Legalization of Abortion,AGAINST,WO,neg,ICCPR report does not cite any reasons for the changes in the legislation regulating. macedonia law # SemST,4,"['ICCPR', 'macedonia', 'law', 'SemST']",iccpr report not cite reason chang legisl regul macedonia law semst
I #DenounceHarper for refusing to include family planning in foreign aid even though spending $1 could save $6 #wherestheFP #SemST,Legalization of Abortion,FAVOR,EO,neg,I DenounceHarper for refusing to include family planning in foreign aid even though spending $1 could save $6 wherestheFP SemST,3,"['DenounceHarper', 'wherestheFP', 'SemST']",i denounceharp refus includ famili plan foreign aid even though spend could save wheresthefp semst
It's sad to see so many people getting their values from Hollywood rather than the Holy Scriptures.  #ProLifeYouth #SemST,Legalization of Abortion,AGAINST,EO,neg,It's sad to see so many people getting their values from Hollywood rather than the Holy Scriptures. ProLifeYouth SemST,2,"['ProLifeYouth', 'SemST']",it sad see mani peopl get valu hollywood rather holi scriptur prolifeyouth semst
This #rally4life shit! How people support it I'll never understand. #SemST,Legalization of Abortion,AGAINST,EO,neg,This rally4life shit! How people support it I'll never understand. SemST,2,"['rally4life', 'SemST']",this ralli life shit how peopl support i never understand semst
Watch out for censorship in your news and media! #politicalrevolution #immigration #RedNationRising #Constitution #CorruptMedia #SemST,Legalization of Abortion,NONE,WO,neg,Watch out for censorship in your news and media! politicalrevolution immigration RedNationRising Constitution CorruptMedia SemST,6,"['politicalrevolution', 'immigration', 'RedNationRising', 'Constitution', 'CorruptMedia', 'SemST']",watch censorship news media politicalrevolut immigr rednationris constitut corruptmedia semst
It is not Pro-Life if you ignore life of the pregnant woman; that includes physical/mental health.IsProLife #SemST,Legalization of Abortion,FAVOR,EO,neg,It is not Pro-Life if you ignore life of the pregnant woman; that includes physical/mental health.IsProLife SemST,1,['SemST'],it not pro life ignor life pregnant woman includ physic mental health isprolif semst
@notmuchelse But of course today one doesn't have to be responsible You can kill your child instead! #SemST,Legalization of Abortion,AGAINST,EO,neg,But of course today one doesn't have to be responsible You can kill your child instead! SemST,1,['SemST'],but cours today one respons you kill child instead semst
@FaceTheNation @nytimes where is #SilencedDiscourse for @TheDemocrats #Divisions on #SchoolChoice #Taxes #DoubleStandard #Biased #SemST,Legalization of Abortion,AGAINST,EO,neg,where is SilencedDiscourse for Divisions on SchoolChoice Taxes DoubleStandard Biased SemST,7,"['SilencedDiscourse', 'Divisions', 'SchoolChoice', 'Taxes', 'DoubleStandard', 'Biased', 'SemST']",silenceddiscours divis schoolchoic tax doublestandard bias semst
@BernieSanders if men were the ones that got preganant this would be a non issue in America #Bernie2016 #WomensRights #Solidarity #SemST,Legalization of Abortion,FAVOR,EO,neg,if men were the ones that got preganant this would be a non issue in America Bernie2016 WomensRights Solidarity SemST,4,"['Bernie2016', 'WomensRights', 'Solidarity', 'SemST']",men one got pregan would non issu america berni womensright solidar semst
Women ARE capable of making decisions #SemST,Legalization of Abortion,FAVOR,WO,pos,Women ARE capable of making decisions SemST,1,['SemST'],women are capabl make decis semst
RT @GuyForChrist: God is the author of life and nobody has the right to take it. #SemST,Legalization of Abortion,AGAINST,EO,pos,RT God is the author of life and nobody has the right to take it. SemST,1,['SemST'],rt god author life nobodi right take semst
@FactsVsOpinion these poor souls won't be anything in the future @PPact encouraged women to murder babies. #BlackLivesMatter #SemST,Legalization of Abortion,AGAINST,EO,neg,these poor souls won't be anything in the future encouraged women to murder babies. BlackLivesMatter SemST,2,"['BlackLivesMatter', 'SemST']",poor soul anyth futur encourag women murder babi blacklivesmatt semst
En route to Parnell Square for the rally for life!!  #everylifematters #SemST,Legalization of Abortion,AGAINST,EO,pos,En route to Parnell Square for the rally for life!! everylifematters SemST,2,"['everylifematters', 'SemST']",en rout parnel squar ralli life everylifematt semst
